model,calibration,fold,samples,accuracy,roc_auc,log_loss,brier
logreg,sigmoid,1,17400,0.7474137931034482,0.8233227205387206,0.506520467200737,0.17024753706933277
logreg,sigmoid,2,17400,0.7813793103448275,0.868571861645299,0.4791760270718117,0.15454846727018368
logreg,sigmoid,3,17345,0.7804554626693572,0.8445772312278741,0.4908303003148489,0.16220456344165343
logreg,sigmoid,4,17155,0.6787525502768872,0.7655547897251848,0.5906730253091583,0.20652188528789325
logreg,sigmoid,5,17100,0.7330409356725146,0.8421359525778881,0.492693848988341,0.16582093952847085
hgb,sigmoid,1,17400,0.6977586206896552,0.7814536700336701,0.5675270905006843,0.1929202557673213
hgb,sigmoid,2,17400,0.6829885057471264,0.7483349893162393,0.5759525557091836,0.19865326373458578
hgb,sigmoid,3,17345,0.6746612856731047,0.7614912960153318,0.5903546669300166,0.2029301411254072
hgb,sigmoid,4,17155,0.6226173127368114,0.7300407430820367,0.6164055302424769,0.21610568081660164
hgb,sigmoid,5,17100,0.5917543859649123,0.7082645437000276,0.6302526177505297,0.22295833349910554
xgboost,sigmoid,1,17400,0.7143103448275862,0.7790026262626263,0.5749633418846584,0.19471641283113636
xgboost,sigmoid,2,17400,0.6802873563218391,0.7551170138888889,0.5964803497800494,0.2049298791206587
xgboost,sigmoid,3,17345,0.7090227731334678,0.7701157736431632,0.577711217456128,0.19608840101996236
xgboost,sigmoid,4,17155,0.6370154473914311,0.7384885635242697,0.6258981190357469,0.21857326585850229
xgboost,sigmoid,5,17100,0.6390643274853801,0.7357269506479184,0.6201988686478935,0.2158032646234952
lightgbm,sigmoid,1,17400,0.7103448275862069,0.7852782491582492,0.5744414082660287,0.19408169665800482
lightgbm,sigmoid,2,17400,0.6780459770114943,0.7582155048076923,0.5942900394630302,0.2038774131026859
lightgbm,sigmoid,3,17345,0.7049870279619487,0.767736431632463,0.583916743881989,0.19846586474581462
lightgbm,sigmoid,4,17155,0.6365491110463422,0.7302813814854843,0.6306894248486243,0.2206508808538542
lightgbm,sigmoid,5,17100,0.6445614035087719,0.753242018196857,0.6168965806952813,0.21416697438458648
