feature,importance_mean,importance_std
close,5.47720294255026,0.022509571709602758
vwap,5.201718925671699,0.017575492465110108
trend_mean_60s,0.1366490257816197,0.0009780646146863982
return_from_candle_open,0.03832786078113236,0.0005627007899814291
log_return_1s,0.037299089052911,0.0005277327631080611
buy_volume_ratio,0.0004875902043241176,5.414756875682106e-05
trend_zscore,0.000136152877670348,2.4296205645697302e-05
number_of_trades,5.304214263142093e-05,9.150396965585222e-06
inst_vol_60s_bps,3.0034199761463932e-05,8.349360067905473e-06
inst_vol_60s,3.0034199508555127e-05,8.349360029127305e-06
volume,7.703024953897852e-06,8.705112468232714e-06
seconds_to_5m_close,1.6006512133404093e-06,3.720018408833766e-06
fraction_of_candle_elapsed,1.6006512119748351e-06,3.7200184076564064e-06
