split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda
1,2026-03-02T11:51:50+00:00,2026-03-02T17:51:50+00:00,79709,6823,7day_logistic_baseline,0.6703795984171186,0.72310868509324,0.6092736788880933,0.21053370009168257,42.43305925407567,0.4754200710102487,0.4596218672138356,
1,2026-03-02T11:51:50+00:00,2026-03-02T17:51:50+00:00,79709,6823,7day_eth_perps_enhanced,0.6706727246079437,0.7232058964757587,0.6136304025973786,0.2120938443855498,43.50905939380063,0.48267671958933817,0.4596218672138356,1.0
1,2026-03-02T11:51:50+00:00,2026-03-02T17:51:50+00:00,79709,6823,polymarket,0.7955444818994577,0.8940085874667199,0.40049449409236626,0.1328583218229074,27.176173553161952,0.4909099034320718,0.4596218672138356,
2,2026-03-02T17:51:50+00:00,2026-03-02T23:51:50+00:00,79723,1697,7day_logistic_baseline,0.6104890984089569,0.6354750489567156,0.6754517203194005,0.2405264021420902,46.22586574043374,0.4885526578023293,0.5562757807896288,
2,2026-03-02T17:51:50+00:00,2026-03-02T23:51:50+00:00,79723,1697,7day_eth_perps_enhanced,0.5904537418974661,0.6345943907983884,0.6859109855513777,0.24516354074091376,46.787684834436774,0.4599464401079679,0.5562757807896288,1.0
2,2026-03-02T17:51:50+00:00,2026-03-02T23:51:50+00:00,79723,1697,polymarket,0.8173246906305245,0.9248493314876088,0.39799553445966773,0.12993314726688698,24.849268107853867,0.4376747289478333,0.5562757807896288,
8,2026-03-04T05:51:50+00:00,2026-03-04T11:51:50+00:00,66859,5419,7day_logistic_baseline,0.6547333456357262,0.7461405604963733,0.6253356215579995,0.21787886455596114,43.55885288339626,0.4783142912013428,0.6333271821369256,
8,2026-03-04T05:51:50+00:00,2026-03-04T11:51:50+00:00,66859,5419,7day_eth_perps_enhanced,0.6381251153349327,0.7396256758674977,0.6407943954094312,0.224878742904147,44.93679568221703,0.4663020894126666,0.6333271821369256,1.0
8,2026-03-04T05:51:50+00:00,2026-03-04T11:51:50+00:00,66859,5419,polymarket,0.8261671895183613,0.9125687158840153,0.3807846018748279,0.12497363670756159,26.43832595851949,0.5515002121081359,0.6333271821369256,
9,2026-03-04T11:51:50+00:00,2026-03-04T17:51:50+00:00,65473,6833,7day_logistic_baseline,0.640421483974828,0.687288957190162,0.6337670256199521,0.22170651289527504,45.349772003163984,0.5225105373754934,0.569442411824967,
9,2026-03-04T11:51:50+00:00,2026-03-04T17:51:50+00:00,65473,6833,7day_eth_perps_enhanced,0.629884384604127,0.683499774008279,0.6378473922337452,0.22387708137004111,44.55393884435368,0.5124914535766276,0.569442411824967,1.0
9,2026-03-04T11:51:50+00:00,2026-03-04T17:51:50+00:00,65473,6833,polymarket,0.7896970583930923,0.8662968072357884,0.4405966560880979,0.14561533602510304,28.101268431429894,0.5817591837458591,0.569442411824967,
10,2026-03-04T17:51:50+00:00,2026-03-04T23:51:50+00:00,65471,6803,7day_logistic_baseline,0.6062031456710275,0.6764591964862601,0.6547621362281912,0.23159110323163687,46.61726141390765,0.5311094474025251,0.4568572688519771,
10,2026-03-04T17:51:50+00:00,2026-03-04T23:51:50+00:00,65471,6803,7day_eth_perps_enhanced,0.6000293987946494,0.6683822620223161,0.6647866770419256,0.23613018778387845,46.16532350780106,0.5506010808694984,0.4568572688519771,1.0
10,2026-03-04T17:51:50+00:00,2026-03-04T23:51:50+00:00,65471,6803,polymarket,0.7207114508305159,0.8242153471855772,0.4951118150778721,0.16885888797900478,32.73248680846061,0.4731202421157764,0.4568572688519771,
