split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_baseline,0.8106240713224369,0.8907398462375603,0.425547615453057,0.13541019333090437,23.55747441148419,0.4579385661287372,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_enhanced,0.8116641901931649,0.8897671958051521,0.5023992925470698,0.13960859363092418,23.212610904130763,0.4416243921900921,0.47340267459138186,1.0,0.33720089743320514,0.10369798497608476,20.883092438969985
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.8322249093107618,0.9392165227605679,0.42409071360239503,0.128845070719714,21.403760998477292,0.4119790360249963,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.8261789600967352,0.9197816078673606,0.4380964496941418,0.1322115807352269,22.996762028054306,0.41852362708391344,0.5568319226118501,1.0,0.3653412316127841,0.11668851388055312,23.324475393565653
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,24.674219001078733,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.8435003289782874,0.9331899072237029,0.35593069745348466,0.1152569457212584,22.15712580434924,0.5225454808819382,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8387066453614062,0.9279040397832772,0.359165795543053,0.11640047759744351,23.887815812542726,0.5336206546427029,0.6131215339787573,1.0,0.3834791130337594,0.12505935650173022,25.014690165801984
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,25.84045232161442,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.800547054040068,0.8735566329735135,0.4647429212321514,0.14590720140560076,24.8946220973376,0.5908303849393944,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.7995120869372366,0.8710272340016028,0.6240316361561093,0.14583593809250955,25.961420237046468,0.6035853196415927,0.5554816293339248,1.0,0.3451736118546943,0.11463598941390596,22.91641952839256
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,27.975440370832494,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.7151728896726214,0.8019422347040234,0.590403261185997,0.19700129394399146,31.820534724678478,0.4478313117198483,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.7136395001150042,0.7948198114824658,0.6109009602404707,0.1971757380100822,33.51825112242146,0.4852808530801873,0.4736640343479261,1.0,0.3992066552661241,0.1269517074669179,25.348014930697698
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,32.960531897770856,0.4721929808742386,0.4736640343479261,,,,
