split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_baseline,0.8106240713224369,0.8902397658208385,0.429439395027642,0.13602519434256044,23.46190514146712,0.4582425884189497,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_enhanced,0.8092867756315008,0.8887365687247679,0.5156488868153466,0.14069722238247867,23.136603649840414,0.44198466298665784,0.47340267459138186,1.0,0.33549262125781104,0.10310192513365693,20.788816034997822
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.8343409915356711,0.9408992538805764,0.4170984600605412,0.12541618986190403,20.89664261667229,0.41601421535268207,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.8261789600967352,0.9214889652240505,0.4284338587544794,0.12938498302137,22.59816643564055,0.4209719148097564,0.5568319226118501,1.0,0.36511581252005515,0.1167299611924413,23.342806734258517
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,24.674219001078733,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.8423724034213742,0.9313004280137845,0.3581300819420143,0.11609855435464153,22.196983635117853,0.5243488831753081,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8371087508224457,0.9268451604377543,0.3608650713710796,0.11628410418284554,23.802259609692904,0.5361557208306794,0.6131215339787573,1.0,0.3812362781266154,0.12423210186772879,24.842019151867625
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,25.84045232161442,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.7984771198344053,0.8731775191547761,0.46787214841408026,0.14585388553099063,24.819382120836607,0.5866139419977278,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.8025430620241,0.8719503957378125,0.6261033265770074,0.14483940264640977,25.868015525730115,0.6012003768444836,0.5554816293339248,1.0,0.3449310571534486,0.11468062700615678,22.922316321879737
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,27.975440370832494,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.7216897952924941,0.8033382085293373,0.588066229353288,0.19558160515281994,31.651349908806786,0.4466706464309799,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.7209997699915663,0.7970460697769992,0.5999352596121386,0.19476462524659172,33.338807982002955,0.48305328108703743,0.4736640343479261,1.0,0.39870071025808623,0.12662451598055233,25.302952541286416
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,32.960531897770856,0.4721929808742386,0.4736640343479261,,,,
