split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_baseline,0.8066864784546806,0.8845818117922797,0.4464620389144621,0.14040760741380576,23.896619643790572,0.45664457600193314,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_enhanced,0.8095839524517088,0.8847348958266911,0.5303871789882691,0.14207815239284594,23.635515937898905,0.4425479663336452,0.47340267459138186,1.0,0.3454231703218525,0.1070037885629637,21.55941925669239
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.8225513905683193,0.9309735843802263,0.4676049561505538,0.14217099871103783,22.22001766820603,0.40395987623073554,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.8261789600967352,0.9132256592795363,0.4582623892948388,0.13688657933510465,23.518792343863208,0.41735726727777894,0.5568319226118501,1.0,0.37468416982608527,0.12037293140772647,24.06650510862485
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,24.674219001078733,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.8351348810978475,0.938622802442192,0.34844804317353295,0.1139405232093863,21.822208967694586,0.5167772096726733,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8334429927624777,0.929635168493275,0.3561379631419536,0.11586923536626693,24.133424708539533,0.5346903600699235,0.6131215339787573,1.0,0.3955107244498196,0.12977600060848288,25.957336159325656
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,25.84045232161442,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.7948547349744954,0.8700475117327416,0.474937927136496,0.1492110762397939,25.258209740030285,0.5874281392282278,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.7912323501145856,0.8670067108170076,0.6190848089592662,0.14915784279112634,26.631089365930272,0.5990273198887258,0.5554816293339248,1.0,0.35294186545983874,0.11756967299123407,23.498274988254256
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,27.975440370832494,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.706892586061489,0.8065058991600721,0.5731242129485478,0.19278864920230232,31.69913376802946,0.4484741675090618,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.7062792302384421,0.7987823013172932,0.5769481924343676,0.19346263893389026,33.631573332592815,0.48455189984031055,0.4736640343479261,1.0,0.4023485023877255,0.12856031193797862,25.676000167197717
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,32.960531897770856,0.4721929808742386,0.4736640343479261,,,,
