threshold_pp,delta_pp_needed_for_1000,reachable,total_at_needed_delta,trades_at_needed_delta,avg_pnl_at_needed_delta
0,0.14082216992377153,True,1125.6318247406457,7882,0.14281043196405047
2,0.7745219345807434,True,1144.4624209610456,2071,0.5526134335881437
3,1.1031069977362102,True,1089.5889045762233,1638,0.6651946914384758
4,1.4551624225456392,True,1171.1438094978837,1568,0.7469029397307931
5,1.7602771240471442,True,1000.0314913926487,1293,0.773419560241801
6,2.112332548856573,True,1061.9692370222322,1328,0.7996756302878254
7,2.44091761201204,True,1019.2803638241628,1238,0.8233282421842996
8,2.769502675167507,True,1016.3224140544442,1213,0.8378585441504074
9,3.0980877383229735,True,1002.9885981546595,1184,0.8471187484414354
10,3.4501431631324024,True,1043.8932382981213,1221,0.8549494171155785
