threshold_pp,delta_pp_needed_for_1000,reachable,total_at_needed_delta,trades_at_needed_delta,avg_pnl_at_needed_delta,new_gap_pp
0,0.6641453659773889,True,1007.8397646156917,48477,0.020790060536247948,24.87990721084485
2,0.6300866292605998,True,1026.2037803943044,39043,0.026283937719803918,24.913965945540788
3,0.5960278925438106,True,1015.0770965838311,35893,0.028280642369928152,24.948024680238593
4,0.5960278925438106,True,1001.3231207166602,32958,0.030381792606246138,24.948024680238593
5,0.6300866292605998,True,1021.0949854209736,30298,0.03370172900590711,24.913965945540788
6,0.6300866292605998,True,1030.7032408059356,27774,0.03711036367847395,24.913965945540788
7,0.5960278925438106,True,1003.489850182042,25542,0.039287833771123715,24.948024680238593
8,0.6130572609022051,True,1007.4893535284909,23289,0.04326030973972652,24.93099531288935
9,0.6130572609022051,True,1003.6923235084379,21140,0.04747835021326575,24.93099531288935
10,0.5960278925438106,True,1020.7818778176864,19151,0.0533017533192881,24.948024680238593
