target_gap_pp,achieved_gap_pp,threshold_pp,trades,total_net_pnl,avg_net_pnl_per_trade
23.0,23.000000152691513,0,48312,4522.794126554555,0.09361637122359984
23.0,23.000000152691513,2,38671,4445.749061192345,0.11496338499631106
23.0,23.000000152691513,3,35450,4416.169435241307,0.12457459619862643
23.0,23.000000152691513,4,32407,4356.567489090426,0.13443291539144092
23.0,23.000000152691513,5,29685,4266.590469045592,0.14372883506975212
23.0,23.000000152691513,6,27152,4180.946759411242,0.15398301264773284
23.0,23.000000152691513,7,24767,4026.5411716356266,0.16257686323073553
23.0,23.000000152691513,8,22526,3934.3196010625184,0.17465682327366236
23.0,23.000000152691513,9,20463,3799.302302590598,0.1856669257973219
23.0,23.000000152691513,10,18479,3558.2885224305364,0.19255850005035643
22.0,22.000000214849507,0,48387,6596.5919136213015,0.13632983887451797
22.0,22.000000214849507,2,38752,6533.677982946036,0.1686023426647924
22.0,22.000000214849507,3,35588,6427.711062375823,0.18061456284072785
22.0,22.000000214849507,4,32581,6250.128177474256,0.19183352805236964
22.0,22.000000214849507,5,29833,6090.211609476433,0.2041434521997933
22.0,22.000000214849507,6,27310,5852.115499970591,0.21428471255842516
22.0,22.000000214849507,7,25008,5621.1956901539015,0.2247758993183742
22.0,22.000000214849507,8,22759,5337.478282673047,0.23452165221112733
22.0,22.000000214849507,9,20747,5042.021664465139,0.24302413189690747
22.0,22.000000214849507,10,18888,4770.5985502590465,0.25257298550714985
