threshold_pp,trades,trade_rate,buy_yes_trades,buy_no_trades,total_net_pnl_per_1_notional,avg_net_pnl_per_trade,win_rate
0,48494,0.8984196972784705,21287,27207,633.7650961245101,0.013068938345455318,0.6501835278591166
2,39237,0.726920725494192,16398,22839,566.004346526123,0.014425270701789712,0.646583581823279
3,36130,0.6693591714989718,14876,21254,542.90439384285,0.015026415550590923,0.650429006365901
4,33213,0.6153176352891047,13474,19739,558.2255037495008,0.01680743997077954,0.6526661247102038
5,30506,0.5651666450525223,12235,18271,560.9368573353288,0.018387755108350123,0.6541991739329968
6,28104,0.5206662096819016,11116,16988,510.8919250539761,0.018178619593437806,0.6530387133504127
7,25838,0.4786853659892176,10103,15735,457.15218874745506,0.017693017599947947,0.6519467451041102
8,23678,0.43866832169257275,9056,14622,442.1214126628205,0.01867224481218095,0.649041304164203
9,21597,0.4001148637382589,8098,13499,446.24691022480806,0.020662448961652456,0.6474510348659536
10,19660,0.36422920873705467,7262,12398,461.7258457315045,0.02348554657840816,0.646236012207528
