threshold_pp,trades,total_net_pnl,avg_net_pnl_per_trade,avg_fee_per_trade
0,48494,108.93737619944392,0.0022464093743441234,0.010822528971111186
2,39237,90.0273890704816,0.0022944513869684637,0.012130819314821257
3,36130,91.91490574389826,0.0025440051409880505,0.012482410409602884
4,33213,132.6920996734093,0.0039951856102553,0.012812254360524243
5,30506,160.79504556805762,0.005270931802532538,0.013116823305817576
6,28104,134.50566408767588,0.004785997156549811,0.013392622436887994
7,25838,105.23759132315453,0.00407297744884103,0.013620040151106917
8,23678,114.02670905307667,0.004815723838714278,0.013856520973466648
9,21597,141.89571284943463,0.006570158487263723,0.014092290474388728
10,19660,180.61604188421967,0.009186980767254306,0.014298565811153853
