split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,ece_10bin_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_baseline,0.8074294205052006,0.8841143453157791,0.4514435276573279,0.1410794014043138,1.6052104675777001,6.477281724728927,0.45735056991560485,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_enhanced,0.8095096582466568,0.8898473800444666,0.45126159994457665,0.14014530338731168,2.4925518111016287,6.973239647701594,0.44847715648036557,0.47340267459138186,1.0,0.3495312137813528,0.10759144480299178,0.00026692745388468
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,1.7190153056982072,4.674799424514039,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.8231559854897219,0.9325655872598294,0.4650221243378505,0.13977126913974905,15.077727727696121,15.077727727696125,0.4060546453348889,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.8213422007255139,0.926770089454342,0.4385911818732306,0.13758933695149367,14.721240022838005,14.721240022837998,0.40961952238347005,0.5568319226118501,1.0,0.38509714086716657,0.12346540925635266,0.001410840516469225
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,11.837816052771483,11.83781605277148,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.8317511044271078,0.936497557346234,0.3501224335910609,0.11510448173135593,9.395918869441289,9.395918869441294,0.5191623452843445,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8395525895290911,0.9330331210471969,0.3456479674585547,0.11315799502668657,7.264991179658054,7.264991179658066,0.5404716221821768,0.6131215339787573,1.0,0.39833898382216526,0.13126539048512786,0.000676673304988995
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,6.208615580507592,7.9209886380583345,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.7937458416500333,0.8684708108033693,0.4817927134495802,0.1499770296305751,2.7287130694770734,6.713885160436889,0.5827687600286955,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.7944851038663414,0.872156353099028,0.473301578592317,0.1474431911158496,4.194362958502829,5.346233440134665,0.597425258918953,0.5554816293339248,1.0,0.3576087772880065,0.11871249685908893,0.0015288509757072077
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,2.630942041442197,3.372193277683551,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.7106493904776509,0.8073799448599063,0.5740644517590094,0.19209219914829426,2.590745344481138,11.326103578708633,0.4477565809031147,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.7065859081499655,0.8058560236650172,0.5417857778772683,0.18309446024211876,0.809999607634132,7.5004335699950255,0.4817640304242674,0.4736640343479261,1.0,0.38841439038802544,0.12651051611818243,0.0004668086707737551
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,0.1471053473687478,5.631714270710443,0.4721929808742386,0.4736640343479261,,,,
