split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155873,13460,7day_logistic_baseline,0.8037147102526003,0.8802602765130743,0.42796265865949173,0.13795521266027963,27.489019410002342,0.4579161857252983,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155873,13460,7day_logistic_enhanced,0.8054234769687965,0.8829980761982091,0.42798547303497714,0.13722511531723502,27.67748865230762,0.4620823847928783,0.47340267459138186,1.0,0.45025034771858463,0.14299774576695662,28.805653751929793
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155873,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.7717654171704957,0.8799595018760379,0.4948003517116287,0.16583270957725565,30.559083053521146,0.41653774443514713,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.7551390568319226,0.8595015797823411,0.5129835008043236,0.1710442885641388,31.29537718215766,0.43284082523207773,0.5568319226118501,1.0,0.4435411216836691,0.14292823074957295,28.653327530809587
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,24.674219001078733,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.790487827803365,0.9169011289498608,0.4247050386157305,0.13584960933178436,26.8437832679821,0.4839499027905159,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8141742644985431,0.9096331706288,0.44050041592008893,0.13270573666118457,27.720273111480992,0.5080031827618361,0.6131215339787573,1.0,0.46193998938184416,0.15134961988397805,30.340264295304596
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,25.84045232161442,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.7689805574037111,0.8634021637352942,0.46116856701803793,0.15246815278583994,28.41310628068984,0.5944605084429659,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.7694980409551267,0.863075482670167,0.4800094066931933,0.15565664351044686,28.12890124435658,0.6088845069415817,0.5554816293339248,1.0,0.40407521474444685,0.13144283806423773,26.29033385370071
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,27.975440370832494,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.6887219198037261,0.7549805161137293,0.6110747731779489,0.2103170736350904,36.37276055801913,0.47824153720429885,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.677144828643717,0.7450102883690617,0.6382774476909069,0.2161614856296114,37.12608843444948,0.5042550310523295,0.4736640343479261,1.0,0.42282897022302296,0.13741479933741216,27.5435312443815
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,32.960531897770856,0.4721929808742386,0.4736640343479261,,,,
