bucket,model,n_rows,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
100-129,polymarket,47085,0.8449187639375597,0.9215092583629303,0.36293513466815674,0.11386011349141655,24.818669580841675,0.509900969296028,0.5120739088881809
100-129,v1_logreg_rebuilt,47085,0.8401189338430498,0.9165201028958891,0.37056294788048716,0.11643063190604562,21.887085119363412,0.49163281133363806,0.5120739088881809
100-129,v3_all_suggestions,47085,0.8388658808537751,0.915238085345079,0.37340476308223475,0.11695927318929117,22.18001533915588,0.48730163158258055,0.5120739088881809
130-159,polymarket,46922,0.8117514172456417,0.8911136479659278,0.4248807205143543,0.13569747348385375,29.391281943294906,0.5119986826873263,0.5124461872895444
130-159,v1_logreg_rebuilt,46922,0.8025872724947786,0.8829653565248307,0.43636307242571293,0.13947682901421068,26.162274402215886,0.485455241406958,0.5124461872895444
130-159,v3_all_suggestions,46922,0.8012233067644176,0.8836178046304806,0.43430728452601663,0.13921573112723598,26.40651376829189,0.48193969483036575,0.5124461872895444
160-189,polymarket,47092,0.7717021999490359,0.8509904827720749,0.4853515437509314,0.1593782991633166,33.976405663857726,0.5105754111883462,0.5134630085789519
160-189,v1_logreg_rebuilt,47092,0.76384523910643,0.8383757172405746,0.507071172523242,0.16499989048310987,30.919757312657993,0.4892916357913736,0.5134630085789519
160-189,v3_all_suggestions,47092,0.760978510150344,0.8378015114325288,0.5075632262147507,0.16643713872523894,30.916797809959583,0.48255911218489594,0.5134630085789519
190-219,polymarket,15645,0.7571108980504954,0.8276350523414366,0.5160116816484097,0.1716578516404129,36.43232018240533,0.5060898432096469,0.5135186960690317
190-219,v1_logreg_rebuilt,15645,0.7493128795142218,0.8158920370844094,0.534696414932165,0.17626243758457424,33.20861704074275,0.4885162489325193,0.5135186960690317
190-219,v3_all_suggestions,15645,0.7479066794503036,0.8148421861143484,0.529936361301483,0.17659082370349186,33.718855985703335,0.4835412118872279,0.5135186960690317
