bucket,model,n_rows,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
100-129,polymarket,47085,0.8449187639375597,0.9215092583629303,0.36293513466815674,0.11386011349141655,24.818669580841675,0.509900969296028,0.5120739088881809
100-129,v1_logreg_rebuilt,47085,0.8399277901667198,0.9160434942050772,0.37168319530934907,0.11681227159208787,21.926083439718404,0.4912862095761065,0.5120739088881809
100-129,v3_all_suggestions,47085,0.8386322608049273,0.9143934095152625,0.37527896351930295,0.11766945444519859,22.24605465739983,0.4875385388091248,0.5120739088881809
130-159,polymarket,46922,0.8117514172456417,0.8911136479659278,0.4248807205143543,0.13569747348385375,29.391281943294906,0.5119986826873263,0.5124461872895444
130-159,v1_logreg_rebuilt,46922,0.8014151144452496,0.8825271309741802,0.4377449802561149,0.1398129133534328,26.179475688274273,0.4854519601800467,0.5124461872895444
130-159,v3_all_suggestions,46922,0.7998593410340565,0.8830713670482757,0.4353735347751638,0.13970951480601768,26.466627390464797,0.481959309291468,0.5124461872895444
160-189,polymarket,47092,0.7717021999490359,0.8509904827720749,0.4853515437509314,0.1593782991633166,33.976405663857726,0.5105754111883462,0.5134630085789519
160-189,v1_logreg_rebuilt,47092,0.7635479486961692,0.8389949707963089,0.5054785996257211,0.16473709515893542,30.88750341913028,0.4892770552627533,0.5134630085789519
160-189,v3_all_suggestions,47092,0.7615093858829525,0.837482601464921,0.5090706276254346,0.16650772223519703,30.881437599043522,0.48260378094030604,0.5134630085789519
190-219,polymarket,15645,0.7571108980504954,0.8276350523414366,0.5160116816484097,0.1716578516404129,36.43232018240533,0.5060898432096469,0.5135186960690317
190-219,v1_logreg_rebuilt,15645,0.7492489613294983,0.815995591198319,0.5323757530192987,0.17614089840628377,33.19713776128319,0.48867048067951807,0.5135186960690317
190-219,v3_all_suggestions,15645,0.747714924896133,0.8143647120287982,0.530417051068272,0.17676116483067408,33.73843048153363,0.48401831903951764,0.5135186960690317
