model,split,accuracy,roc_auc,log_loss,brier,calibration_gap_pp
7day_logistic_baseline,0,0.8069444444444445,0.8831716165107243,0.45238789060837215,0.14156422437616462,23.91774173043777
polymarket,0,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828
7day_logistic_baseline,1,0.822858813212511,0.931270978234541,0.4665438910409639,0.140222701786172,21.837364955578252
polymarket,1,0.8187664425606548,0.9254406726876362,0.3962084168427995,0.1291557478078082,24.780580592461927
7day_logistic_baseline,2,0.8308714918759232,0.9353386101922152,0.35368616396079094,0.11614339433612048,22.12531334599666
polymarket,2,0.8360413589364845,0.91751715550918,0.3713597646512949,0.12050637531145852,26.03930278133416
7day_logistic_baseline,3,0.7927783056794094,0.8675583285440281,0.4833498954074704,0.15051396621414084,25.385869167233523
polymarket,3,0.7897814487245084,0.8708214790816997,0.43934165977504197,0.14500583465654115,28.05102552116377
7day_logistic_baseline,4,0.7085008405818288,0.8046893027431601,0.5765581320764611,0.1933719249054488,31.759779074029687
polymarket,4,0.71442146041956,0.8175716209559064,0.5038516278920967,0.17256645284850977,33.10812545307279
7day_logistic_baseline,5,0.7950005980145916,0.892882966201446,0.4292881267906909,0.14252454304897855,28.459325381639882
polymarket,5,0.799306303073795,0.8981523988862403,0.4212368961427269,0.13755380488428745,30.05962694034293
